scope,variable,n_minor,n_older,minor_mean,minor_sd,minor_median,older_mean,older_sd,older_median,minor_minus_older,test,statistic,effect_size,effect_size_name,p_value,test_note,p_value_fdr_bh,significant_fdr_0_05
subject_level,sess2_t2_loseswitch,5,11,0.65,0.22360679774997896,0.5,0.5238095238095238,0.2994401427547257,0.4285714285714285,0.1261904761904762,welch_t_test,0.9366397914574922,0.42628339857129005,hedges_g,0.3701612130859786,,0.9365557811338273,False
subject_level,sess2_t14_winstay,5,11,0.6333333333333333,0.34156502553198664,0.5,0.46731601731601735,0.2624368856402383,0.4285714285714285,0.16601731601731595,welch_t_test,0.965045287668364,0.5463768395568807,hedges_g,0.3703389191057408,,0.9365557811338273,False
subject_level,median_sess2,5,11,0.65,0.22079402165819614,0.55,0.5454545454545454,0.14569582261435202,0.5,0.10454545454545461,welch_t_test,0.9673604851113999,0.5795183108211597,hedges_g,0.3729168337732197,,0.9365557811338273,False
subject_level,sess1_t1,6,12,0.46666666666666673,0.2065591117977289,0.5,0.36666666666666675,0.24246211825330316,0.35,0.09999999999999998,welch_t_test,0.9124869666223605,0.4107915169654796,hedges_g,0.3798823280184962,,0.9365557811338273,False
subject_level,sess1_t3_winstay,6,12,0.5277777777777778,0.4399073976628701,0.6666666666666667,0.707936507936508,0.30853544051090936,0.7333333333333334,-0.18015873015873018,welch_t_test,-0.8987073687025658,-0.483523743450069,hedges_g,0.3965489957545062,,0.9365557811338273,False
subject_level,sess2_t12,5,11,0.7,0.3082207001484488,0.7,0.5636363636363637,0.22033033051637385,0.5,0.13636363636363624,welch_t_test,0.891185212880521,0.5185386280174195,hedges_g,0.40744443650845413,,0.9365557811338273,False
subject_level,sess1_t12,6,12,0.65,0.2664582518894846,0.6499999999999999,0.5416666666666666,0.20652243256245834,0.5,0.10833333333333339,welch_t_test,0.8733258022291884,0.4545956500763054,hedges_g,0.40756467730144075,,0.9365557811338273,False
subject_level,vr_math_sd_hr,6,12,6.500798030487156,3.2951721189891288,6.435811634043208,5.16548986664717,2.588520685775438,4.487286510061281,1.3353081638399864,welch_t_test,0.8677305011521559,0.44962932324301946,hedges_g,0.41019766768551535,,0.9365557811338273,False
subject_level,sess2_t3,5,11,0.5599999999999999,0.11401754250991378,0.6,0.49090909090909085,0.2119176512447486,0.5,0.06909090909090909,welch_t_test,0.8451751586068971,0.3452767357770947,hedges_g,0.4129555721878466,,0.9365557811338273,False
subject_level,baseline_sd_hr,6,12,4.380049895034706,0.7816104150894494,4.555748156903386,4.939355967320165,2.0244908436707605,4.203381685695047,-0.5593060722854588,welch_t_test,-0.8399787639762848,-0.3070949931887148,hedges_g,0.4136859044278749,,0.9365557811338273,False
subject_level,prep_hr_reactivity,4,11,7.3843406414468475,5.890205442725604,6.51270606882067,11.05113635179972,10.426897444805935,15.158997219825524,-3.666795710352872,welch_t_test,-0.8511958762513003,-0.360513498838638,hedges_g,0.41480904010757746,,0.9365557811338273,False
subject_level,sess2_t18,5,11,0.72,0.2949576240750525,0.7,0.5909090909090909,0.23001976199685736,0.6,0.12909090909090903,welch_t_test,0.8662079951366924,0.48761608850706495,hedges_g,0.418024081939417,,0.9365557811338273,False
subject_level,sess1_t12_winstay,6,12,0.7827380952380952,0.21381396484941262,0.8125,0.6781746031746033,0.317142066307747,0.6666666666666666,0.10456349206349191,welch_t_test,0.8266213425601696,0.34476084594836365,hedges_g,0.42210030507147966,,0.9365557811338273,False
subject_level,sess2_t5_winstay,5,11,0.75,0.27638539919628335,0.75,0.6310606060606061,0.21782035504219313,0.6,0.1189393939393939,welch_t_test,0.8497617026450686,0.4764085826053575,hedges_g,0.4262179834487161,,0.9365557811338273,False
subject_level,vr_speech_max_hr,6,12,99.66666666666667,11.690451944500122,102.5,94.66666666666667,12.97783658489513,91.5,5.0,welch_t_test,0.8240785772246034,0.3782387956140655,hedges_g,0.4271895596687987,,0.9365557811338273,False
